#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,10:00:01.592,ENTER,37.38,1,,37.38,,,0,1,B,,,,,
BHP,20130205,10:00:01.592,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:00:03.065,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:00:06.688,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:00:19.613,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:00:21.576,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:00:22.491,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:00:27.453,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:00:32.746,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:00:32.746,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:00:46.077,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:00:46.077,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:00:46.482,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:00:53.637,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:00:59.749,ENTER,37.36,1,,37.36,,,0,1,B,,,,,
BHP,20130205,10:01:09.012,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:01:16.242,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:01:28.138,ENTER,37.35,1,,37.35,,,0,1,A,,,,,
BHP,20130205,10:01:38.149,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:01:48.474,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:02:14.910,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:02:26.133,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:02:28.363,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:02:28.935,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:02:32.181,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:02:32.181,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:03:13.184,ENTER,37.39,1,,37.39,,,0,1,B,,,,,
BHP,20130205,10:03:13.184,ENTER,37.39,1,,37.39,,,0,1,A,,,,,
BHP,20130205,10:03:34.208,ENTER,37.39,1,,37.39,,,0,1,B,,,,,
BHP,20130205,10:03:34.208,ENTER,37.39,1,,37.39,,,0,1,A,,,,,
BHP,20130205,10:04:55.012,ENTER,37.38,1,,37.38,,,0,1,B,,,,,
BHP,20130205,10:05:35.653,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:05:39.872,ENTER,37.39,1,,37.39,,,0,1,B,,,,,
BHP,20130205,10:05:39.872,ENTER,37.39,1,,37.39,,,0,1,A,,,,,
BHP,20130205,10:05:41.350,ENTER,37.385,1,,37.385,,,0,1,B,,,,,
BHP,20130205,10:06:22.744,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:06:35.295,ENTER,37.38,1,,37.38,,,0,1,B,,,,,
BHP,20130205,10:06:42.188,ENTER,37.38,1,,37.38,,,0,1,A,,,,,
BHP,20130205,10:06:59.033,ENTER,37.38,1,,37.38,,,0,1,B,,,,,
BHP,20130205,10:07:05.190,ENTER,37.37,1,,37.37,,,0,1,A,,,,,
BHP,20130205,10:07:09.131,ENTER,37.37,1,,37.37,,,0,1,B,,,,,
BHP,20130205,10:08:34.859,ENTER,37.36,1,,37.36,,,0,1,A,,,,,
BHP,20130205,10:08:46.997,ENTER,37.35,1,,37.35,,,0,1,B,,,,,
BHP,20130205,10:08:53.540,ENTER,37.34,1,,37.34,,,0,1,A,,,,,
BHP,20130205,10:08:53.540,ENTER,37.34,1,,37.34,,,0,1,B,,,,,
