BHP	20130205	09:59:54.025	TRADE	37.350	90		3361.5	AC	0	6230424149651779592	6230424149651747083					140	110	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	296		11055.6	AC	0	6230424149651764869	6230424149651747083					179	110	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	2700		100845	AC	0	6230424149651776781	6230424149651747083					299	110	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1500		56025	AC	0	6230424149651746912	6230424149651747083					366	110	0.0	0.0	SELL	
BHP	20130205	09:59:54.025	TRADE	37.350	4414		164862.9	AC	0	6230424149651748131	6230424149651747083					299	110	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	80		2988	AC	0	6230424149651748131	6230424149651764045					299	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	276		10308.6	AC	0	6230424149651748131	6230424149651779881					299	210	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	198		7395.3	AC	0	6230424149651760602	6230424149651779881					106	210	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	80		2988	AC	0	6230424149651764528	6230424149651779881					217	210	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	2751		102749.85	AC XT	0	6230424149651762013	6230424149651779881					210	210	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	5349		199785.15	AC	0	6230424149651762013	6230424149651767158					210	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	583		21775.05	AC	0	6230424149651762014	6230424149651767158					210	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	46		1718.1	AC	0	6230424149651765081	6230424149651767158					210	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	210		7843.5	AC	0	6230424149651767249	6230424149651767158					406	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	105		3921.75	AC	0	6230424149651768415	6230424149651767158					406	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	155		5789.25	AC	0	6230424149651776913	6230424149651767158					361	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1081		40375.35	AC	0	6230424149651774602	6230424149651767158					361	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1760		65736	AC	0	6230424149651778858	6230424149651767158					361	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	900		33615	AC	0	6230424149651765182	6230424149651767158					157	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	600		22410	AC	0	6230424149651776236	6230424149651767158					157	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	2537		94756.95	AC	0	6230424149651773239	6230424149651767158					154	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	190		7096.5	AC XT	0	6230424149651731854	6230424149651767158					203	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1240		46314	AC	0	6230424149651778515	6230424149651767158					299	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	356		13296.6	AC	0	6230424149651778517	6230424149651767158					299	203	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1644		61403.4	AC	0	6230424149651778517	6230424149651775688					299	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1100		41085	AC XT	0	6230424149651755771	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	117		4369.95	AC	0	6230424149651765592	6230424149651775688					299	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	160		5976	AC XT	0	6230424149651730782	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	135		5042.25	AC	0	6230424149651754686	6230424149651775688					210	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	40		1494	AC XT	0	6230424149651731355	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	150		5602.5	AC XT	0	6230424149651730686	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	312		11653.2	AC	0	6230424149651736384	6230424149651775688					210	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	80		2988	AC	0	6230424149651729377	6230424149651775688					266	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	25		933.75	AC	0	6230424149651764917	6230424149651775688					311	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	200		7470	AC	0	6230424149651729820	6230424149651775688					144	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	60		2241	AC	0	6230424149651730090	6230424149651775688					122	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	500		18675	AC XT	0	6230424149651730509	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	132		4930.2	AC XT	0	6230424149651730931	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	175		6536.25	AC XT	0	6230424149651731024	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	27		1008.45	AC	0	6230424149651755465	6230424149651775688					203	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	200		7470	AC	0	6230424149651729679	6230424149651775688					144	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	238		8889.3	AC XT	0	6230424149651731138	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	26		971.1	AC XT	0	6230424149651754129	6230424149651775688					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	289		10794.15	AC	0	6230424149651730122	6230424149651775688					122	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1025		38283.75	AC	0	6230017330349681605	6230424149651775688					266	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	662		24725.7	AC	0	6230017330349681605	6230424149651762021					266	210	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	311		11615.85	AC	0	6230017330349681605	6230424149651762024					266	210	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1002		37424.7	AC	0	6230017330349681605	6230424149651767763					266	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	574		21438.9	AC	0	6230017330349888939	6230424149651767763					150	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1000		37350	AC	0	6230017330352826210	6230424149651767763					140	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	397		14827.95	AC	0	6230424149651755439	6230424149651767763					638	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	48		1792.8	AC	0	6230017330351412390	6230424149651767763					233	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	79		2950.65	AC	0	6230017330349453810	6230424149651767763					122	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	100		3735	AC	0	6230017330349454582	6230424149651767763					140	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	130		4855.5	AC	0	6230017330349454993	6230424149651767763					140	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	525		19608.75	AC	0	6230017330349470810	6230424149651767763					140	338	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	55		2054.25	AC XT	0	6230017330349470810	6230424149651730284					140	140	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	25		933.75	AC	0	6230017330349470810	6230424149651760624					140	106	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	262		9785.7	AC	0	6230017330349485194	6230424149651760624					638	106	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	299		11167.65	AC	0	6230017330349682453	6230424149651760624					266	106	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	95		3548.25	AC	0	6230017330349682453	6230424149651765204					266	233	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	800		29880	AC	0	6230017330349682453	6230424149651765209					266	233	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	250		9337.5	AC	0	6230017330349682453	6230424149651753996					266	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	320		11952	AC	0	6230017330349682453	6230424149651761168					266	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	220		8217	AC	0	6230017330349682453	6230424149651762454					266	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	1016		37947.6	AC	0	6230017330349682453	6230424149651769599					266	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	525		19608.75	AC	0	6230017330352265111	6230424149651769599					140	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	500		18675	AC	0	6230424149651729855	6230424149651769599					144	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	135		5042.25	AC	0	6230017330349454675	6230424149651769599					140	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	260		9711	AC	0	6230424149651731049	6230424149651769599					140	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	150		5602.5	AC	0	6230017330349455317	6230424149651769599					140	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	414		15462.9	AC	0	6230424149651775256	6230424149651769599					144	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	15		560.25	AC	0	6230424149651775256	6230424149651774551					144	150	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	571		21326.85	AC	0	6230424149651775256	6230424149651777186					144	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	270		10084.5	AC	0	6228841677541452125	6230424149651777186					122	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	3000		112050	AC	0	6228841677542298799	6230424149651777186					266	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	133		4967.55	AC	0	6230424149651731411	6230424149651777186					140	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	3000		112050	AC	0	6228841677541629689	6230424149651777186					266	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	4500		168075	AC	0	6230424149651779061	6230424149651777186					210	217	0.0	0.0	0	
BHP	20130205	09:59:54.025	TRADE	37.350	2250		84037.5	AC	0	6230424149651779061	6230424149651764766					210	144	0.0	0.0	0	
