#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,00:00.0,ENTER,37.75,3000,0,113250,,0,6.23002E+18,,B,,,,266,
BHP,20130205,00:00.0,ENTER,37.75,574,0,21668.5,,0,6.23002E+18,,B,,,,150,
BHP,20130205,00:00.0,ENTER,37.75,1000,0,37750,,0,6.23002E+18,,B,,,,140,
BHP,20130205,00:00.0,ENTER,37.72,48,0,1810.56,,0,6.23002E+18,,B,,,,233,
BHP,20130205,00:00.0,ENTER,37.7,79,0,2978.3,,0,6.23002E+18,,B,,,,122,
BHP,20130205,00:00.0,ENTER,37.7,100,0,3770,,0,6.23002E+18,,B,,,,140,
BHP,20130205,00:00.0,ENTER,37.7,130,0,4901,,0,6.23002E+18,,B,,,,140,
BHP,20130205,00:00.0,ENTER,37.7,605,0,22808.5,,0,6.23002E+18,,B,,,,140,
BHP,20130205,00:00.0,ENTER,37.7,262,0,9877.4,,0,6.23002E+18,,B,,,,638,
BHP,20130205,00:02.5,ENTER,37.38,1352,0,50537.76,SHL ,0,,6.23042E+18,A,,,,,203
BHP,20130205,00:02.6,DELETE,,,,,,0,6.23042E+18,,B,,,,297,
BHP,20130205,00:02.6,ENTER,37.38,1738,0,64966.44,FK OB0 ,0,6.23042E+18,,B,,,,945,
BHP,20130205,00:02.6,TRADE,37.38,4,,149.52,,0,6.23042E+18,6.23042E+18,,,,,945,210
BHP,20130205,00:02.6,TRADE,37.38,43,,1607.34,,0,6.23042E+18,6.23042E+18,,,,,945,217
BHP,20130205,00:02.6,TRADE,37.38,5,,186.9,,0,6.23042E+18,6.23042E+18,,,,,945,150
BHP,20130205,00:02.6,TRADE,37.38,334,,12484.92,,0,6.23042E+18,6.23042E+18,,,,,945,150
BHP,20130205,00:02.6,TRADE,37.38,1352,,50537.76,,0,6.23042E+18,6.23042E+18,,,,,945,203
BHP,20130205,00:02.6,ENTER,37.35,56,0,2091.6,FK OB0 ,0,,6.23042E+18,A,,,,,345
BHP,20130205,00:02.6,TRADE,37.35,56,,2091.6,,0,6.23042E+18,6.23042E+18,,,,,140,345
BHP,20130205,00:02.6,AMEND,37.35,4675,,174611.25,,0,6.23042E+18,,B,9:59:55,37.35,7689,297,
BHP,20130205,00:02.7,ENTER,37.44,82,0,3070.08,SHL ,0,,6.23042E+18,A,,,,,210
BHP,20130205,00:02.7,ENTER,37.39,13,0,486.07,,0,,6.23042E+18,A,,,,,297
BHP,20130205,00:02.7,ENTER,37.39,759,0,28379.01,,0,,6.23042E+18,A,,,,,297
BHP,20130205,00:02.7,ENTER,37.34,94,0,3509.96,,0,6.23042E+18,,B,,,,297,
BHP,20130205,00:03.1,ENTER,37.34,1066,0,39804.44,OB0 ,0,,6.23042E+18,A,,,,,150
BHP,20130205,00:03.1,TRADE,37.35,211,,7880.85,,0,6.23042E+18,6.23042E+18,,,,,140,150
BHP,20130205,00:03.1,TRADE,37.35,855,,31934.25,,0,6.23042E+18,6.23042E+18,,,,,210,150
BHP,20130205,00:03.1,DELETE,,,,,,0,,6.23042E+18,A,,,,,150
BHP,20130205,00:03.1,DELETE,,,,,,0,,6.23042E+18,A,,,,,150
BHP,20130205,00:03.1,ENTER,37.34,408,0,15234.72,OB0 ,0,,6.23042E+18,A,,,,,150
BHP,20130205,00:03.1,TRADE,37.35,408,,15238.8,,0,6.23042E+18,6.23042E+18,,,,,210,150
BHP,20130205,00:03.1,ENTER,37.34,500,0,18670,OB0 ,0,,6.23042E+18,A,,,,,150
